OBJECTID,INSTALLED,UPGRADED,INFRA_HIGHORDER
467,2001,2015,Protected Lanes
468,2001,2015,Shared Roadways
469,2001,2023,Protected Lanes
470,2001,2015,Protected Lanes
471,2001,2015,Protected Lanes
472,2001,2015,Protected Lanes
473,2001,2015,Protected Lanes
474,2001,2015,Protected Lanes
475,2001,2015,Protected Lanes
476,2001,2015,Protected Lanes
477,2001,2010,Shared Roadways
478,2001,2010,Shared Roadways
479,2001,NA,Protected Lanes
480,2001,2012,Protected Lanes
481,2001,2012,Protected Lanes
482,2001,2012,Protected Lanes
483,2001,NA,On-Road Lanes
484,2001,NA,Protected Lanes
485,2001,NA,Protected Lanes
486,2008,2014,Protected Lanes
487,2001,2015,Shared Roadways
488,2001,2015,On-Road Lanes
489,2001,NA,On-Road Lanes
490,2001,NA,Protected Lanes
491,2005,NA,Protected Lanes
492,2005,NA,Shared Roadways
493,2005,NA,Shared Roadways
494,2005,NA,Shared Roadways
495,2005,NA,Shared Roadways
496,2005,NA,Shared Roadways
497,2005,NA,Shared Roadways
498,2005,NA,Shared Roadways
499,2005,NA,Shared Roadways
500,2005,NA,Shared Roadways
501,2005,NA,Shared Roadways
502,2005,2023,Shared Roadways
503,2005,NA,Shared Roadways
504,2005,NA,Shared Roadways
505,2005,NA,Shared Roadways
506,2005,2021,Shared Roadways
507,2005,2023,Shared Roadways
508,2005,NA,Shared Roadways
509,2001,2015,Protected Lanes
510,2001,2015,Shared Roadways
511,2001,2022,On-Road Lanes
512,2001,2021,Protected Lanes
513,2001,2016,Protected Lanes
514,2001,2018,Protected Lanes
515,2001,2017,On-Road Lanes
516,2001,NA,Protected Lanes
517,2001,NA,Protected Lanes
518,2001,NA,Protected Lanes
519,2001,NA,Shared Roadways
520,2001,NA,Shared Roadways
521,2002,NA,Protected Lanes
522,2002,NA,On-Road Lanes
523,2003,NA,Protected Lanes
524,2003,NA,Protected Lanes
525,2003,NA,On-Road Lanes
526,2003,NA,On-Road Lanes
527,2003,NA,Shared Roadways
528,2003,NA,Shared Roadways
529,2003,NA,On-Road Lanes
530,2004,NA,On-Road Lanes
531,2004,NA,Protected Lanes
532,2004,NA,Protected Lanes
533,2004,2017,Protected Lanes
534,2004,NA,Protected Lanes
535,2004,NA,On-Road Lanes
536,2004,NA,Protected Lanes
537,2004,NA,Protected Lanes
538,2005,NA,Protected Lanes
539,2005,NA,Shared Roadways
540,2005,NA,Shared Roadways
541,2005,2023,Shared Roadways
542,2005,NA,Shared Roadways
543,2005,NA,Shared Roadways
544,2005,NA,Shared Roadways
545,2005,NA,Shared Roadways
546,2006,NA,Protected Lanes
547,2006,NA,Protected Lanes
548,2006,NA,Protected Lanes
549,2006,NA,Protected Lanes
550,2006,NA,Shared Roadways
551,2006,NA,Shared Roadways
552,2006,NA,Shared Roadways
553,2006,2022,Shared Roadways
554,2006,NA,Shared Roadways
555,2006,2022,Shared Roadways
556,2006,NA,Shared Roadways
557,2006,NA,Shared Roadways
558,2006,NA,Shared Roadways
559,2006,NA,Shared Roadways
560,2006,NA,Shared Roadways
561,2006,NA,Shared Roadways
562,2006,2022,Shared Roadways
563,2006,NA,Shared Roadways
564,2006,NA,Shared Roadways
565,2006,NA,Shared Roadways
566,2006,NA,On-Road Lanes
567,2006,NA,Shared Roadways
568,2007,NA,Protected Lanes
569,2007,NA,Protected Lanes
570,2007,NA,Protected Lanes
571,2007,2012,Protected Lanes
572,2006,NA,Protected Lanes
573,2006,2018,Shared Roadways
574,2006,NA,Shared Roadways
575,2006,NA,Shared Roadways
576,2006,NA,Shared Roadways
577,2006,2015,Protected Lanes
578,2006,NA,Protected Lanes
579,2006,NA,Protected Lanes
580,2006,NA,Protected Lanes
581,2006,NA,Protected Lanes
582,2006,2011,Protected Lanes
583,2006,NA,Protected Lanes
584,2006,2015,Protected Lanes
585,2006,NA,Protected Lanes
586,2006,NA,Shared Roadways
587,2006,NA,Shared Roadways
588,2006,2022,Shared Roadways
589,2006,NA,Shared Roadways
590,2006,2022,Shared Roadways
591,2006,NA,Shared Roadways
592,2006,NA,Shared Roadways
593,2006,NA,Shared Roadways
594,2006,NA,Shared Roadways
595,2006,NA,Shared Roadways
596,2006,NA,Shared Roadways
597,2006,NA,Shared Roadways
598,2006,NA,Shared Roadways
599,2006,NA,Shared Roadways
600,2005,NA,Shared Roadways
601,2005,NA,Shared Roadways
602,2005,2023,Shared Roadways
603,2005,NA,Shared Roadways
604,2005,2021,Shared Roadways
605,2005,NA,Shared Roadways
606,2005,NA,Shared Roadways
607,2005,NA,Shared Roadways
608,2005,NA,Shared Roadways
609,2005,NA,Shared Roadways
610,2005,NA,Shared Roadways
611,2005,2023,Shared Roadways
